station,aos,los,duration,angle
Troll,06/06/2024 07:31:16,06/06/2024 07:33:27,130.299,10
Troll,06/06/2024 07:31:26,06/06/2024 07:33:16,109.855,0
Troll,06/06/2024 07:31:48,06/06/2024 07:32:53,64.491,-10
Troll,06/06/2024 09:08:59,06/06/2024 09:10:52,113.456,20
Punta Arenas,06/06/2024 10:55:19,06/06/2024 10:57:21,122.871,-10
Punta Arenas,06/06/2024 10:55:21,06/06/2024 10:57:22,120.89,0
Punta Arenas,06/06/2024 10:55:25,06/06/2024 10:57:13,107.146,-20
Troll,06/06/2024 14:00:02,06/06/2024 14:02:21,139.249,20
Fairbanks,06/06/2024 14:46:04,06/06/2024 14:47:27,83.352,10
Fairbanks,06/06/2024 14:46:36,06/06/2024 14:47:25,49.362,0
Troll,06/06/2024 15:37:53,06/06/2024 15:39:56,123.646,0
Troll,06/06/2024 15:37:59,06/06/2024 15:39:51,111.533,-10
Troll,06/06/2024 15:38:16,06/06/2024 15:39:34,78.052,-20
Troll,06/06/2024 15:38:38,06/06/2024 15:39:53,74.954,10
Svalbard,06/06/2024 16:35:37,06/06/2024 16:36:45,68.248,20
Svalbard,06/06/2024 18:14:15,06/06/2024 18:15:31,75.622,0
Svalbard,06/07/2024 02:23:32,06/07/2024 02:23:52,19.994,0
Svalbard,06/07/2024 02:23:53,06/07/2024 02:24:57,63.839,-10
Svalbard,06/07/2024 04:01:55,06/07/2024 04:04:00,125.053,20
Fairbanks,06/07/2024 04:12:49,06/07/2024 04:13:09,20.583,-10
Troll,06/07/2024 06:38:22,06/07/2024 06:40:38,136.387,-20
Troll,06/07/2024 06:38:25,06/07/2024 06:40:36,130.9,-10
Troll,06/07/2024 08:16:10,06/07/2024 08:18:44,154.096,20
Troll,06/07/2024 08:16:39,06/07/2024 08:18:14,94.821,10
Punta Arenas,06/07/2024 11:40:18,06/07/2024 11:42:38,139.561,20
Troll,06/07/2024 13:08:25,06/07/2024 13:09:10,45.467,20
Troll,06/07/2024 14:44:54,06/07/2024 14:47:27,153.268,20
Troll,06/07/2024 14:45:13,06/07/2024 14:47:10,116.423,10
Troll,06/07/2024 14:45:54,06/07/2024 14:46:30,36.229,0
Troll,06/07/2024 16:22:59,06/07/2024 16:25:30,150.73,-20
Troll,06/07/2024 16:25:06,06/07/2024 16:25:16,10.355,-10
Svalbard,06/07/2024 17:21:07,06/07/2024 17:21:40,32.803,20
Svalbard,06/07/2024 17:21:34,06/07/2024 17:22:01,26.738,10
