station,aos,los,duration,angle
Svalbard,10/01/2023 01:50:58,10/01/2023 01:52:43,104.975,-20
Svalbard,10/01/2023 01:51:19,10/01/2023 01:52:50,91.551,0
Svalbard,10/01/2023 03:28:52,10/01/2023 03:31:21,148.529,20
Svalbard,10/01/2023 03:29:09,10/01/2023 03:31:03,114.264,10
Svalbard,10/01/2023 03:29:45,10/01/2023 03:30:27,41.949,0
Fairbanks,10/01/2023 05:17:29,10/01/2023 05:19:38,129.159,-20
Fairbanks,10/01/2023 05:17:30,10/01/2023 05:19:35,124.818,-10
Troll,10/01/2023 07:44:15,10/01/2023 07:45:51,96.731,-10
Troll,10/01/2023 07:44:43,10/01/2023 07:45:22,38.7,-20
Troll,10/01/2023 09:21:38,10/01/2023 09:23:48,129.563,20
Troll,10/01/2023 14:12:56,10/01/2023 14:15:01,124.441,20
Fairbanks,10/01/2023 14:58:40,10/01/2023 15:00:46,125.992,10
Fairbanks,10/01/2023 14:58:51,10/01/2023 15:00:32,101.356,0
Fairbanks,10/01/2023 14:59:17,10/01/2023 15:00:50,92.683,20
Fairbanks,10/01/2023 14:59:18,10/01/2023 15:00:05,46.63,-10
Troll,10/01/2023 15:50:53,10/01/2023 15:52:22,88.646,-10
Svalbard,10/01/2023 18:26:18,10/01/2023 18:28:47,148.155,20
Svalbard,10/01/2023 18:26:36,10/01/2023 18:28:30,113.725,10
Svalbard,10/01/2023 18:27:13,10/01/2023 18:27:54,40.734,0
Svalbard,10/01/2023 20:04:48,10/01/2023 20:06:48,119.483,-10
Svalbard,10/01/2023 20:04:49,10/01/2023 20:06:46,117.145,0
Svalbard,10/01/2023 20:04:56,10/01/2023 20:06:41,104.624,-20
Svalbard,10/01/2023 21:42:27,10/01/2023 21:44:53,145.719,-20
Svalbard,10/01/2023 23:21:53,10/01/2023 23:22:35,42.534,-20
Svalbard,10/02/2023 00:57:57,10/02/2023 01:00:14,136.546,-20
Svalbard,10/02/2023 00:59:26,10/02/2023 01:00:08,42.214,-10
Svalbard,10/02/2023 02:36:06,10/02/2023 02:38:09,123.589,10
Svalbard,10/02/2023 02:36:10,10/02/2023 02:38:04,114.248,0
Svalbard,10/02/2023 02:36:24,10/02/2023 02:37:50,86.382,-10
Svalbard,10/02/2023 04:14:26,10/02/2023 04:16:45,139.214,20
Fairbanks,10/02/2023 04:24:24,10/02/2023 04:26:52,147.991,20
Fairbanks,10/02/2023 04:24:44,10/02/2023 04:26:35,110.989,10
Fairbanks,10/02/2023 04:25:27,10/02/2023 04:25:54,26.795,0
Troll,10/02/2023 08:29:15,10/02/2023 08:31:08,113.948,10
Troll,10/02/2023 08:30:02,10/02/2023 08:30:20,18.172,0
Troll,10/02/2023 10:07:18,10/02/2023 10:07:51,32.95,20
Punta Arenas,10/02/2023 11:53:20,10/02/2023 11:55:06,106.055,10
Fairbanks,10/02/2023 14:06:53,10/02/2023 14:08:07,74.459,-20
Troll,10/02/2023 14:58:08,10/02/2023 14:59:45,97.416,10
Fairbanks,10/02/2023 15:44:11,10/02/2023 15:46:07,115.338,20
Svalbard,10/02/2023 17:33:19,10/02/2023 17:35:31,132.034,20
Svalbard,10/02/2023 19:11:53,10/02/2023 19:13:58,124.952,10
Svalbard,10/02/2023 19:12:01,10/02/2023 19:13:51,110.268,0
Svalbard,10/02/2023 19:12:19,10/02/2023 19:13:34,74.982,-10
Svalbard,10/02/2023 19:12:23,10/02/2023 19:13:29,66.717,20
Svalbard,10/02/2023 20:49:52,10/02/2023 20:52:06,133.541,-20
Svalbard,10/02/2023 20:49:56,10/02/2023 20:52:01,125.115,-10
Punta Arenas,10/02/2023 21:27:49,10/02/2023 21:29:34,104.71,20
Punta Arenas,10/02/2023 21:28:23,10/02/2023 21:29:49,86.437,10
Svalbard,10/02/2023 22:27:30,10/02/2023 22:27:45,14.889,-20
Svalbard,10/02/2023 22:29:03,10/02/2023 22:29:58,55.216,-20
Svalbard,10/03/2023 00:05:12,10/03/2023 00:07:39,146.516,-20
Svalbard,10/03/2023 01:43:15,10/03/2023 01:45:17,121.975,-10
Svalbard,10/03/2023 01:43:20,10/03/2023 01:45:12,111.453,-20
Svalbard,10/03/2023 01:44:09,10/03/2023 01:45:14,65.442,0
Svalbard,10/03/2023 03:21:17,10/03/2023 03:23:43,146.206,20
Svalbard,10/03/2023 03:21:30,10/03/2023 03:23:29,119.065,10
Svalbard,10/03/2023 03:21:57,10/03/2023 03:23:01,64.487,0
Svalbard,10/03/2023 05:00:51,10/03/2023 05:01:34,43.02,20
Fairbanks,10/03/2023 05:09:57,10/03/2023 05:11:59,122.416,-10
Fairbanks,10/03/2023 05:10:01,10/03/2023 05:10:44,43.531,0
Fairbanks,10/03/2023 05:10:01,10/03/2023 05:11:56,114.887,-20
Troll,10/03/2023 07:36:52,10/03/2023 07:38:04,71.515,-20
Troll,10/03/2023 09:14:03,10/03/2023 09:16:20,137.101,20
Troll,10/03/2023 14:05:29,10/03/2023 14:07:25,115.062,20
Fairbanks,10/03/2023 14:51:10,10/03/2023 14:53:03,112.892,0
Fairbanks,10/03/2023 14:51:10,10/03/2023 14:53:09,118.85,10
Fairbanks,10/03/2023 14:51:56,10/03/2023 14:52:47,50.548,-10
Troll,10/03/2023 15:43:07,10/03/2023 15:43:56,48.966,0
Troll,10/03/2023 15:43:28,10/03/2023 15:44:38,70.143,-10
Svalbard,10/03/2023 18:18:41,10/03/2023 18:21:10,149.359,20
Svalbard,10/03/2023 18:19:02,10/03/2023 18:20:49,106.883,10
Svalbard,10/03/2023 19:57:14,10/03/2023 19:59:12,118.332,0
Svalbard,10/03/2023 19:57:15,10/03/2023 19:59:11,116.466,-10
Svalbard,10/03/2023 19:57:25,10/03/2023 19:59:02,96.934,-20
Svalbard,10/03/2023 21:34:54,10/03/2023 21:37:19,144.759,-20
Punta Arenas,10/03/2023 22:13:10,10/03/2023 22:13:22,12.581,-20
Svalbard,10/03/2023 23:14:08,10/03/2023 23:15:02,53.654,-20
Svalbard,10/04/2023 00:50:22,10/04/2023 00:52:41,138.761,-20
Svalbard,10/04/2023 00:52:04,10/04/2023 00:52:34,30.22,-10
Svalbard,10/04/2023 02:28:33,10/04/2023 02:30:32,119.701,10
Svalbard,10/04/2023 02:28:33,10/04/2023 02:30:30,116.693,0
Svalbard,10/04/2023 02:28:54,10/04/2023 02:30:19,84.75,-10
Svalbard,10/04/2023 02:29:10,10/04/2023 02:29:52,42.301,-20
Svalbard,10/04/2023 04:07:11,10/04/2023 04:09:10,119.119,20
Svalbard,10/04/2023 04:07:37,10/04/2023 04:08:17,39.873,10
Fairbanks,10/04/2023 04:16:47,10/04/2023 04:19:16,148.679,20
Fairbanks,10/04/2023 04:17:17,10/04/2023 04:18:48,91.537,10
Troll,10/04/2023 08:22:08,10/04/2023 08:23:08,60.411,0
Troll,10/04/2023 08:22:22,10/04/2023 08:23:18,56.289,10
Troll,10/04/2023 09:59:33,10/04/2023 10:00:35,62.491,20
Punta Arenas,10/04/2023 11:46:02,10/04/2023 11:47:16,74.547,0
Punta Arenas,10/04/2023 11:46:56,10/04/2023 11:47:42,46.068,10
Fairbanks,10/04/2023 14:00:00,10/04/2023 14:00:35,34.618,-20
Troll,10/04/2023 14:50:07,10/04/2023 14:51:29,82.428,20
Troll,10/04/2023 14:50:42,10/04/2023 14:52:05,82.739,10
Fairbanks,10/04/2023 15:37:27,10/04/2023 15:38:38,71.613,20
Troll,10/04/2023 16:28:13,10/04/2023 16:28:14,0.791,-20
Svalbard,10/04/2023 17:25:45,10/04/2023 17:27:48,123.365,20
Svalbard,10/04/2023 19:04:15,10/04/2023 19:06:23,128.481,20
Svalbard,10/04/2023 19:04:17,10/04/2023 19:06:22,125.715,10
Svalbard,10/04/2023 19:04:27,10/04/2023 19:06:13,105.373,0
Svalbard,10/04/2023 19:04:50,10/04/2023 19:05:50,60.419,-10
Svalbard,10/04/2023 20:42:20,10/04/2023 20:44:30,130.308,-20
Svalbard,10/04/2023 20:42:22,10/04/2023 20:44:27,125.271,-10
Punta Arenas,10/04/2023 21:20:21,10/04/2023 21:22:37,135.225,20
Svalbard,10/04/2023 22:19:57,10/04/2023 22:22:25,147.787,-20
Svalbard,10/04/2023 23:57:38,10/05/2023 00:00:05,146.945,-20
Svalbard,10/05/2023 01:35:47,10/05/2023 01:37:43,116.424,-10
Svalbard,10/05/2023 01:35:58,10/05/2023 01:37:40,101.278,-20
Svalbard,10/05/2023 01:37:01,10/05/2023 01:37:38,36.789,0
Svalbard,10/05/2023 03:13:53,10/05/2023 03:16:04,131.286,20
Svalbard,10/05/2023 03:14:13,10/05/2023 03:15:54,100.698,10
Svalbard,10/05/2023 03:14:20,10/05/2023 03:15:32,72.116,0
Svalbard,10/05/2023 04:52:55,10/05/2023 04:54:11,75.87,20
Fairbanks,10/05/2023 05:02:23,10/05/2023 05:04:21,117.941,0
Fairbanks,10/05/2023 05:02:26,10/05/2023 05:04:21,115.378,-10
Fairbanks,10/05/2023 05:02:36,10/05/2023 05:04:11,95.138,-20
